disease_id,Nama Penyakit,Nama Tanaman,Deskripsi,Penyebab,Rekomendasi Perawatan Tanaman ,Tips Pencegahan
disease_10,Corn Northern Leaf Blight,Corn,"Northern leaf blight ditandai dengan bercak-bercak panjang yang berwarna abu-abu hingga hitam pada daun, yang dapat menyebabkan kerusakan serius pada tanaman dan menurunkan hasil panen.",Jamur Exserohilum turcicum,"Untuk mengatasi northern leaf blight pada jagung, aplikasikan fungisida yang efektif pada tahap awal gejala agar dapat menghentikan perkembangan penyakit. Penting juga untuk melakukan pemangkasan dan menjaga kebersihan area tanam dengan membuang bagian tanaman yang terinfeksi untuk mengurangi akumulasi patogen. ","Sebagai langkah pencegahan, tanam varietas jagung yang telah terbukti tahan terhadap penyakit ini untuk meminimalkan risiko infeksi. Pastikan juga ada cukup jarak antar tanaman agar sirkulasi udara tetap baik, sehingga kelembapan dapat dikontrol dan risiko terjadinya infeksi dapat diminimalkan."
disease_11,Corn Healthy,Corn,"Jagung Anda dalam kondisi sehat dan berkembang dengan baik. Dengan perawatan yang tepat, Anda dapat berharap untuk mendapatkan hasil panen yang melimpah.",,"Lakukan penyiraman secara rutin, terutama pada fase pertumbuhan awal dan saat cob corn mulai terbentuk. Pastikan tanaman mendapatkan sinar matahari penuh untuk pertumbuhan optimal. Gunakan pupuk nitrogen pada awal musim tanam untuk meningkatkan pertumbuhan vegetatif. Pemangkasan daun yang mati atau tidak sehat akan membantu menjaga kesehatan tanaman. Jaga jarak tanam yang cukup untuk meningkatkan sirkulasi udara dan mengurangi risiko penyakit.",
disease_12,Black Rot on Grape,Grape,"Black rot ditandai dengan pembusukan pada buah dan bercak hitam di batang, yang dapat menurunkan kualitas dan hasil panen.",Jamur Botrytis cinerea,"Buang bagian tanaman yang terinfeksi dan gunakan fungisida sesuai dosis yang disarankan. Penyemprotan harus dilakukan sebelum gejala muncul, terutama selama fase pembungaan dan berbuah. Pemantauan rutin sangat penting untuk mendeteksi infeksi lebih awal.",Sanitasi area tanam dan pemangkasan sangat penting untuk mencegah penyebaran penyakit. Pastikan untuk membersihkan puing-puing tanaman yang terinfeksi dan menjaga kelembapan tanah seimbang.
disease_13,Esca (Black Measles) on Grape,Grape,"Esca ditandai dengan bercak hitam pada daun, pembusukan kayu, dan buah, yang dapat mengakibatkan kehilangan hasil yang signifikan.",Jamur Phaeomoniella chlamydospora,Buang tanaman yang terinfeksi dan perbaiki sirkulasi udara dengan memangkas cabang yang rimbun. Gunakan fungisida sesuai rekomendasi untuk pengendalian penyakit. Melakukan pemantauan dan pemangkasan secara berkala dapat menjaga kesehatan tanaman.,"Hindari kelembapan tinggi dengan tidak menyiram pada sore hari dan menjaga kebersihan kebun. Tanam varietas anggur yang lebih tahan terhadap penyakit ini, serta lakukan rotasi tanaman untuk mencegah infeksi pada tahun-tahun mendatang."
disease_14,Grape Leaf Blight,Grape,"Grape Leaf Blight adalah penyakit yang menyebabkan kerusakan pada daun anggur, ditandai dengan bercak cokelat atau hitam dan penguningan daun. Infeksi yang parah dapat mengurangi hasil panen dan kualitas buah.","Jamur patogen, seperti Phomopsis viticola dan Botrytis cinerea","Penting untuk memangkas bagian tanaman yang terinfeksi guna meningkatkan sirkulasi udara dan mencegah penyebaran lebih lanjut. Penggunaan fungisida yang sesuai harus dilakukan saat gejala awal muncul, dan pastikan bahwa tanah memiliki drainase yang baik untuk mengurangi kelembaban berlebih. Selain itu, menjaga kebersihan kebun dengan menghilangkan daun dan sisa tanaman yang terinfeksi sangatlah penting. Praktik rotasi tanaman dan penanaman varietas yang tahan terhadap penyakit juga dapat membantu. ",
disease_15,Healthy Grape,Grape,"Tanaman anggur yang sehat memiliki pertumbuhan yang kuat dengan batang yang kokoh dan cabang yang rimbun. Daunnya berwarna hijau cerah, menunjukkan kesehatan yang baik, dan tidak terdapat bercak, kerusakan, atau gejala infeksi. Buah anggur muncul dalam kelompok yang subur, biasanya berwarna ungu, hijau, atau merah, tergantung pada varietasnya. Tanaman ini juga memiliki akar yang kuat dan sistem perakaran yang baik, yang mendukung pertumbuhan dan penyerapan nutrisi secara optimal.",,"Lakukan pemangkasan secara teratur guna menghilangkan bagian tanaman yang mati atau terinfeksi, serta meningkatkan sirkulasi udara dan penetrasi cahaya matahari. Penyiraman harus dilakukan dengan baik, terutama selama musim panas, dengan memastikan tanah sedikit kering di antara penyiraman. Pemberian pupuk seimbang yang kaya nitrogen, fosfor, dan kalium sangat dianjurkan untuk mendukung pertumbuhan yang sehat. Selain itu, lakukan pengendalian hama secara rutin dengan memeriksa adanya kutu daun, ulat, atau serangga lain yang dapat merusak tanaman.",
disease_16,Orange Huanglongbing (HLB) / Citrus Greening,Orange,"Huanglongbing (HLB) adalah penyakit yang sangat merusak tanaman jeruk, yang ditandai dengan gejala seperti daun menguning, buah yang kecil dan asimetris, serta penurunan hasil yang signifikan.","Bakteri Candidatus Liberibacter yang ditularkan melalui serangga vektor, terutama Diaphorina citri (psyllid jeruk).","Perawatan tanaman yang terinfeksi HLB meliputi memangkas pohon yang terinfeksi dan menghancurkan semua bagian yang terkontaminasi, serta menggunakan pestisida untuk mengendalikan populasi psylid guna mencegah penyebaran bakteri. Penanaman varietas jeruk yang tahan terhadap HLB juga merupakan langkah yang bijaksana. ",Melakukan inspeksi rutin terhadap tanaman untuk mendeteksi gejala awal dan menjaga kebersihan di sekitar kebun dengan menghilangkan sumber serangga vektor. Penggunaan umpan perangkap untuk mengontrol serangga psylid juga dapat membantu mengurangi risiko infeksi.
disease_17,Peach Bacterial Spot,Peach,"Peach Bacterial Spot adalah penyakit yang ditandai dengan munculnya bercak-bercak air yang dapat berkembang menjadi luka pada buah persik, yang menyebabkan penurunan kualitas dan nilai jual buah.","Bakteri Xanthomonas arboricola, yang dapat menginfeksi melalui luka pada daun atau buah, serta kondisi kelembaban yang tinggi.","Untuk merawat tanaman persik yang terinfeksi, hilangkan bagian tanaman yang terinfeksi guna mencegah penyebaran lebih lanjut, serta gunakan fungisida atau bakterisida yang sesuai untuk mengontrol infeksi. Selain itu, menjaga kelembaban tanah agar tidak berlebihan adalah langkah penting. ",Memangkas tanaman secara teratur untuk meningkatkan sirkulasi udara dan cahaya matahari sangat dianjurkan. Menghindari penyiraman yang berlebihan dan menggunakan irigasi yang tepat untuk menjaga kelembaban tanah juga dapat membantu. Memilih varietas persik yang lebih tahan terhadap penyakit ini akan memberikan perlindungan tambahan.
disease_18,Healthy Peach,Peach,"Tanaman persik yang sehat memiliki batang yang tegak dan kuat dengan daun yang lebar dan hijau segar. Daun-daun ini tidak memiliki bercak, kerusakan, atau gejala infeksi, menandakan bahwa tanaman dalam kondisi prima. Buah persik biasanya tumbuh dengan baik, memiliki ukuran yang seragam, warna yang menarik, dan tekstur kulit yang halus. Akar tanaman juga berkembang dengan baik, memastikan penyerapan air dan nutrisi yang optimal.",,"Pastikan tanaman mendapatkan penyiraman yang cukup, terutama selama periode pembentukan buah, tetapi hindari genangan air. Pemberian nutrisi menggunakan pupuk yang sesuai dengan kebutuhan tanaman persik, terutama pada awal musim tanam dan menjelang pembungaan, juga sangat penting. Perlindungan dari hama perlu dilakukan dengan pemantauan rutin untuk mendeteksi hama seperti buah lalat dan kutu daun, serta menggunakan pestisida organik jika diperlukan. Pemangkasan juga dianjurkan untuk membentuk kanopi yang baik dan meningkatkan sirkulasi udara di antara cabang.",
disease_19,Pepper Bell Bachterial Spot,Pepper,"Pepper Bell Bacterial Spot adalah penyakit yang ditandai dengan bercak-bercak berair yang muncul pada daun, batang, dan buah cabai, yang dapat menyebabkan penurunan hasil dan kualitas buah.","Bakteri Xanthomonas campestris, yang dapat menyebar melalui kontak langsung, alat pertanian yang terkontaminasi, dan air irigasi.","Untuk merawat tanaman cabai yang terinfeksi, hilangkan bagian tanaman yang terinfeksi dan gunakan bakterisida untuk mengontrol penyebaran bakteri. Menjaga kelembaban tanah yang seimbang dan tidak berlebihan juga penting. ","Melakukan rotasi tanaman, menjaga jarak antar tanaman untuk meningkatkan sirkulasi udara, serta membersihkan alat pertanian secara teratur untuk menghindari penyebaran patogen. Pilihlah varietas cabai yang tahan terhadap penyakit ini sebagai langkah pencegahan tambahan."
disease_20,Healthy Pepper Bell,Pepper,"Tanaman cabai bell yang sehat memiliki pertumbuhan yang subur dengan batang yang kuat dan kokoh. Daun-daunnya berwarna hijau cerah dan lebar, tanpa bercak atau tanda infeksi. Buah cabai bell tumbuh dengan baik, memiliki ukuran yang seragam, warna yang cerah, dan kulit yang halus. Tanaman ini juga menunjukkan sirkulasi udara yang baik di antara cabang-cabangnya, serta akar yang berkembang dengan baik, memastikan penyerapan nutrisi dan air yang optimal.",,"Penyiraman secara teratur sangat dibutuhkan, terutama saat buah mulai terbentuk, sambil memastikan tidak terjadi genangan air. Berikan pupuk yang kaya akan kalium dan fosfor untuk mendukung pembentukan buah yang baik. Lakukan rotasi tanaman setiap musim tanam untuk mengurangi risiko penyakit dan hama. Selain itu, cek secara rutin untuk serangan hama seperti kutu daun atau belalang, dan ambil langkah pencegahan jika ditemukan.",
disease_21,Potato Early Blight,Potato,"Potato Early Blight adalah penyakit yang ditandai dengan bercak-bercak cokelat pada daun, yang dapat menyebabkan daun menguning dan rontok, serta menurunkan hasil panen.","Jamur Alternaria solani, yang berkembang biak di kondisi lembab dan dapat menyebar dengan cepat pada tanaman yang terkena stres.",Perawatan tanaman yang terinfeksi meliputi pemangkasan daun yang terinfeksi dan penerapan fungisida yang tepat. Memastikan sirkulasi udara yang baik di sekitar tanaman juga dapat membantu mengurangi risiko infeksi. ,"Lakukan rotasi tanaman, pillihlah varietas kentang yang tahan, serta pengaturan waktu penanaman dan pemupukan yang tepat sangat dianjurkan. Menjaga kebersihan kebun dan menghilangkan sisa-sisa tanaman yang terinfeksi juga penting untuk mencegah penyebaran penyakit."
disease_22,Potato Late Blight,Potato,"Potato Late Blight adalah penyakit yang lebih serius, ditandai dengan bercak-bercak hitam pada daun dan batang, serta pembusukan pada umbi. Ini dapat menyebabkan kerugian besar dalam hasil panen.","Jamur Phytophthora infestans, yang berkembang biak dalam kondisi lembab dan suhu dingin.","Untuk mengatasi tanaman yang terinfeksi, penting untuk segera menghilangkan bagian yang terinfeksi dan menerapkan fungisida secara rutin. Penggunaan varietas kentang yang tahan terhadap late blight juga sangat disarankan.","Dalam hal pencegahan, menjaga kebersihan area tanam, mengatur jarak tanam yang cukup untuk meningkatkan sirkulasi udara, dan menghindari kelembaban yang berlebihan akan sangat membantu. Pemantauan kondisi cuaca dan penggunaan teknologi seperti perangkat lunak untuk peramalan penyakit juga bisa berkontribusi pada pencegahan."
disease_23,Healthy Potato,Potato,"Tanaman kentang yang sehat menunjukkan pertumbuhan yang baik dengan daun hijau cerah yang lebat dan tegak. Daun tidak menunjukkan tanda-tanda kerusakan atau penyakit, dan umbi kentang tumbuh dengan baik di dalam tanah. Pertumbuhan akar juga optimal, memastikan tanaman dapat menyerap air dan nutrisi yang diperlukan untuk perkembangan yang sehat.",,"Penyiraman harus dilakukan secara teratur, dengan memastikan tanah selalu lembab, terutama selama fase pertumbuhan umbi, tetapi hindari penyiraman berlebihan. Lakukan pemantauan rutin terhadap hama seperti kumbang kentang dan ulat, serta gunakan insektisida sesuai kebutuhan. Pemberian pupuk seimbang yang kaya akan nitrogen untuk mendukung pertumbuhan vegetatif dan kalium untuk pertumbuhan umbi juga dianjurkan. Pastikan jarak tanam yang cukup untuk meningkatkan sirkulasi udara dan mengurangi risiko penyakit.",
disease_24,Healthy Raspberry,Raspberry,"Tanaman raspberry yang sehat memiliki batang yang kuat dan tegak, serta daun hijau yang lebar dan segar. Tanaman ini tumbuh subur dengan cabang-cabang yang rimbun, dan tidak menunjukkan tanda-tanda infeksi atau kerusakan. Buah raspberry biasanya tumbuh dalam kelompok, berwarna merah cerah, manis, dan beraroma segar, dengan kualitas tinggi.",,"Pastikan tanaman mendapatkan penyiraman yang cukup, terutama selama periode pembentukan buah. Berikan pupuk yang kaya nitrogen di awal musim tanam dan pupuk yang lebih kaya kalium dan fosfor saat tanaman mulai berbuah. Pemangkasan pasca panen diperlukan untuk meningkatkan produksi buah di tahun berikutnya dan menjaga bentuk tanaman. Selain itu, lakukan pemantauan untuk hama seperti kutu daun dan buah raspberry, dan gunakan pestisida organik jika diperlukan.",
disease_25,Healthy Soybean,Soybean,"Tanaman kedelai yang sehat menunjukkan pertumbuhan yang baik dengan daun hijau segar yang lebar dan berkilau. Daun tidak memiliki bercak atau kerusakan, dan tanaman tumbuh tegak dengan cabang yang rimbun. Tanaman kedelai juga memiliki akar yang berkembang dengan baik, membantu penyerapan air dan nutrisi secara optimal.",,"Pastikan tanaman mendapatkan penyiraman yang cukup, terutama pada fase awal pertumbuhan dan saat pembentukan polong. Gunakan pupuk yang kaya akan nitrogen, fosfor, dan kalium untuk mendukung pertumbuhan tanaman secara keseluruhan. Lakukan pemantauan untuk hama seperti penggerek batang dan kutu, dan terapkan metode pengendalian yang sesuai. Selain itu, terapkan rotasi tanaman untuk mengurangi risiko serangan penyakit dan meningkatkan kesehatan tanah.",
disease_26,Squash Powdery Mildew,Squash,"Squash Powdery Mildew adalah penyakit yang ditandai dengan lapisan putih seperti bubuk pada daun, yang dapat mengurangi fotosintesis dan kualitas buah.","Jamur Podosphaera xanthii, yang berkembang baik pada kondisi panas dan kering.","Merawat tanaman yang terinfeksi meliputi menghilangkan daun yang terinfeksi dan menggunakan fungisida untuk mengendalikan pertumbuhan jamur. Menerapkan praktik pengelolaan tanaman yang baik, seperti menanam varietas squash yang tahan, dapat membantu. ","Pencegahan dapat dilakukan dengan menjaga jarak antar tanaman untuk meningkatkan sirkulasi udara, menghindari penyiraman berlebih pada daun, dan melakukan rotasi tanaman untuk mencegah penumpukan patogen di tanah."
disease_27,Strawberrry Leaf Scorch,Strawberry,"Strawberry Leaf Scorch adalah penyakit yang menyerang tanaman stroberi, yang ditandai dengan munculnya bercak-bercak kuning pada daun yang akhirnya menyebabkan layu dan kematian daun. Penyakit ini dapat mengakibatkan penurunan hasil buah dan kualitas tanaman secara keseluruhan. Gejala awal sering kali muncul pada daun yang lebih tua dan dapat menyebar ke seluruh tanaman jika tidak ditangani dengan tepat.","Strawberry Leaf Scorch disebabkan oleh infeksi virus, terutama oleh Strawberry mottle virus (SMoV) dan Strawberry vein banding virus (SVBV). Virus ini menyebar melalui serangga penghisap, seperti kutu daun, serta melalui peralatan pertanian yang terkontaminasi. Kondisi lingkungan yang lembap dan suhu tinggi juga dapat memperparah penyebaran penyakit ini.","Untuk mengatasi infeksi, penting untuk menghilangkan tanaman yang terinfeksi dan memastikan tanaman mendapatkan cukup air serta nutrisi. Pengendalian hama, terutama kutu daun, juga sangat dianjurkan dengan penggunaan pestisida yang sesuai.","Untuk mencegah penyakit ini, pilih varietas stroberi yang tahan terhadap virus, jaga kebersihan kebun, dan lakukan rotasi tanaman. Memastikan sirkulasi udara yang baik di sekitar tanaman juga penting untuk mencegah perkembangan penyakit."
disease_28,Healthy Strawberry,Strawberry,"Strawberry yang sehat ditandai dengan daun yang hijau cerah, batang yang kokoh, dan buah yang padat serta berwarna cerah. Tanaman ini memerlukan kondisi tanah yang baik, cukup sinar matahari, dan kelembapan yang tepat untuk tumbuh dengan optimal. Tanaman strawberry juga sensitif terhadap hama dan penyakit, sehingga penting untuk menjaga kesehatan mereka melalui praktik perawatan yang baik.",,,"Untuk merawat strawberry agar tetap sehat, penting untuk memastikan bahwa tanaman mendapatkan cukup air tanpa tergenang, menggunakan pupuk seimbang yang mengandung nitrogen, fosfor, dan kalium, serta melakukan pemeriksaan rutin untuk mendeteksi hama dan penyakit. Selain itu, pemangkasan daun yang terinfeksi atau mati dapat membantu mencegah penyebaran penyakit. Dengan perawatan yang baik, strawberry dapat tumbuh subur dan menghasilkan buah dengan baik."
disease_29,Tomato Bacterial Spot,Tomato,"Tomato Bacterial Spot adalah penyakit yang disebabkan oleh bakteri Xanthomonas campestris yang menyerang tanaman tomat. Gejala awalnya ditandai dengan munculnya bercak air pada daun, yang kemudian berkembang menjadi bercak kuning dan akhirnya mengering. Penyakit ini dapat menyebabkan penurunan hasil panen yang signifikan.","Penyakit ini menyebar melalui air, tanah, dan kontak langsung antara tanaman yang terinfeksi dengan yang sehat. Kondisi lingkungan yang lembab dan hangat mendukung perkembangan bakteri ini, menjadikannya lebih umum di daerah dengan iklim tersebut.","Untuk mengatasi infeksi, penting untuk menghilangkan dan menghancurkan bagian tanaman yang terinfeksi. Menggunakan varietas tomat yang tahan terhadap penyakit ini juga sangat dianjurkan. Selain itu, menjaga kelembaban tanah dan memperbaiki drainase dapat membantu mengurangi penyebaran penyakit."," Pencegahan dapat dilakukan dengan melakukan rotasi tanaman, memastikan jarak tanam yang cukup agar sirkulasi udara baik, serta membersihkan alat pertanian sebelum dan setelah digunakan. Penggunaan mulsa juga dapat membantu mengurangi kontak tanah dengan daun."
disease_30,Tomato Early Blight,Tomato,"Tomato Early Blight adalah penyakit yang disebabkan oleh jamur Alternaria solani, yang menyerang tanaman tomat pada semua tahap pertumbuhan. Gejala awal muncul sebagai bercak kecoklatan pada daun yang dapat berkembang menjadi bercak yang lebih besar, mengering, dan menyebabkan daun mati. Jika tidak ditangani, penyakit ini dapat menurunkan hasil panen dan kualitas buah.","Jamur ini menyebar melalui spora yang dapat terbang melalui angin dan hujan. Kelembaban yang tinggi dan suhu hangat menciptakan kondisi ideal bagi jamur ini untuk berkembang. Tanaman yang lemah karena stres, seperti kekurangan nutrisi atau air, lebih rentan terhadap infeksi.",Menghilangkan bagian tanaman yang terinfeksi segera setelah gejala terlihat sangat penting untuk mencegah penyebaran. Menggunakan fungisida yang tepat juga dianjurkan untuk mengendalikan infeksi. Pastikan untuk mengikuti instruksi label untuk aplikasi yang efektif.,"Pencegahan bisa dilakukan dengan memilih varietas tomat yang tahan terhadap Early Blight dan mengatur jarak tanam agar sirkulasi udara optimal. Mengatur sistem irigasi untuk mencegah kelembaban berlebih dan melakukan rotasi tanaman juga sangat membantu. Selain itu, membersihkan alat pertanian dan sampah tanaman setelah panen akan mengurangi sumber infeksi."
disease_31,Tomato Late Blight,Tomato,"Tomato Late Blight adalah penyakit serius yang disebabkan oleh jamur Phytophthora infestans, yang dapat menyebabkan kerusakan besar pada tanaman tomat dan kentang. Gejala awal muncul sebagai bercak minyak berwarna hijau muda pada daun, yang kemudian berkembang menjadi bercak hitam. Penyakit ini dapat menyebabkan tanaman mati dalam waktu singkat dan berdampak signifikan pada hasil panen.","Jamur penyebab penyakit ini menyebar melalui spora yang dapat terbang melalui angin dan air, serta dapat bertahan dalam kondisi basah. Kelembapan yang tinggi dan suhu dingin hingga sedang (15-20°C) sangat ideal untuk perkembangan jamur ini. Tanaman yang stres karena kekurangan air atau nutrisi juga lebih rentan.",Penanganan meliputi penghapusan bagian tanaman yang terinfeksi serta penggunaan fungisida berbasis mancozeb atau chlorothalonil. Penggunaan fungisida harus dilakukan secara teratur dan sesuai dengan rekomendasi untuk menjaga efektivitasnya.,Pencegahan dapat dilakukan dengan memilih varietas tomat yang tahan terhadap Late Blight. Mengatur jarak tanam untuk memastikan sirkulasi udara yang baik serta menghindari penyiraman pada daun sangat penting. Rotasi tanaman dan membersihkan sisa-sisa tanaman setelah panen juga dapat membantu mengurangi risiko infeksi.
disease_32,Tomato Leaf Mold,Tomato,"Tomato Leaf Mold adalah penyakit yang disebabkan oleh jamur Cladosporium fulvum. Penyakit ini biasanya muncul pada daun tomat, terutama pada bagian bawahnya. Gejala awal meliputi bercak kuning yang kemudian berkembang menjadi bercak hijau zaitun yang dapat terlihat berbulu. Jika tidak diobati, penyakit ini dapat menyebabkan daun mati, mengurangi fotosintesis, dan akhirnya mempengaruhi hasil panen.","Jamur ini berkembang biak dalam kondisi lembab dan suhu yang hangat, biasanya antara 20-25°C. Penyebarannya terjadi melalui spora yang dapat dibawa oleh angin dan air. Keberadaan kelembapan yang tinggi dan sirkulasi udara yang buruk di sekitar tanaman dapat meningkatkan risiko infeksi.","Penanganan terhadap Tomato Leaf Mold melibatkan pemangkasan daun yang terinfeksi dan penggunaan fungisida berbasis copper atau azoxystrobin. Pemberian fungisida harus dilakukan secara rutin, terutama saat kondisi lingkungan mendukung pertumbuhan jamur.","Untuk mencegah penyakit ini, penting untuk memilih varietas tomat yang tahan terhadap Leaf Mold. Menjaga jarak tanam yang cukup untuk sirkulasi udara yang baik dan menghindari penyiraman dari atas dapat membantu mencegah infeksi. Praktik rotasi tanaman dan membersihkan area sekitar tanaman dari sisa-sisa tanaman sebelumnya juga dianjurkan."
